,id,text,labels
62,,"they expanded the seating with a cozy new back section ,  added some great new dishes  ( i had the most fantastic j moneymoneyay shrimp and exciting maize red salmon )  but kept everything that was good  ( amazing staff and person !  ) ","[1, 0, 1, -2, -2, -2, -2, -2]"
63,,not to mention that the guy spilled cardinal glasses of water on my back and the manager was nowhere to be seen. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
64,,"smiling servers quiz her with movie clips ,  but forget to fill their water glasses. ","[-2, -2, 1, 0, -2, 0, -2, -2]"
65,,"the waiter was smiling when we decided to order dessert  ( and i must say we were eating the courses as they arrived ,  no lingering ) . ","[0, -2, -1, -2, -2, -2, -2, -2]"
66,,"heck even if they had awful service and atmosphere i would still come to this place for their wedding ,  but that is not the case. ","[1, -2, -2, -2, -1, -2, -2, -1]"
67,,person is warm and is always fixing up something unique and ready in the kitchen to send to your table. ,"[-2, -2, 1, 0, -2, -2, -2, -2]"
68,,"the menu features classic norp beef fare ,  like steamed gpe with norp fries and person steak with a green pepper sauce. ","[1, -2, -2, -2, -2, -2, 0, -2]"
69,,"had an after-work drink at your terminal the bar with a date ,  loved the place so much we came back for lunch time. ","[0, 1, -2, -2, -2, -2, -2, -2]"
70,,the food was served promptly and was really hot. ,"[1, -2, -2, -2, 0, -2, -2, -2]"
71,,"the kitchen is open and surrounded by bar seating  ( the only kind of seating )  ,  and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it. ","[0, 1, 1, -2, 0, -2, -2, -2]"
72,,i had been to blue fin previously for drinks and parties and thought the atmosphere was very good  ( especially for people watching ) . ,"[0, -2, -2, -2, -2, -2, -2, 1]"
73,,"the bar downstairs is a lot of fun ,  so if you get stuck waiting ,  just have drink. ","[0, -2, -2, -2, -1, -2, -2, -2]"
74,,"the atmosphere was nice  ( tables were a bit too close together )  and friendly ,  but it seemed rushed. ","[-2, -1, -2, -2, -2, -2, -2, 1]"
75,,we recently had lunch at your terminal this establishment with cardinal other couples and i have to say i was very disappointed with the service and how we were treated. ,"[0, -2, -2, -2, -1, -2, -2, -2]"
76,,"although our waitress was pleasant and kind ,  the norp food was quite the opposite. ","[-1, -2, 1, -2, -2, -2, -2, -2]"
77,,their efforts were limited - i mean really limited to cardinal items  ( nothing like the online menu ) . ,"[-1, -2, -2, -2, -2, -2, 0, -2]"
78,,"my group got charged an average  dollar money / person for a family-style dinner ,  including a cardinal percentage  tip added for the horrible service. ","[0, -2, -2, -2, -1, -2, -2, -2]"
79,,they look like person and threw out my frienda beer before he was finished  ( about 1 / 4 left ) . ,"[0, -2, -1, -2, -2, -2, -2, -2]"
80,,perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better. ,"[-2, -2, 0, -2, -1, -2, -2, -2]"
81,,"the food at your terminal parish was warm and well-prepared ,  but the portions were usually small ,  especially in proportion to the prices. ","[1, -2, -2, -1, -2, -1, -2, -2]"
82,,there is actually space to breathe and the decor sets the tone for an intimate dinner. ,"[1, 0, -2, -2, -2, -2, -2, 1]"
83,,the atmosphere was really nice and inviting but our waiter was awful ! ,"[-2, -2, -1, -2, -2, -2, -2, 1]"
84,,"i always listen to the writers' recommendations ,  because they are always awesome - either a special or just one of their favorites off the menu. ","[-2, -2, 1, -2, -2, -2, 0, -2]"
85,,"the org is sparse and elegant ,  the service warm  ( though my waitress was occasionally difficult to find )  ,  and the food fresh. ","[-2, -2, -1, -2, 1, -2, -2, 1]"
86,,i waited time for the waiter to take the bill from me and finally i got fed up with him walking past our table i had to start waving the bill in the air and finally some other waitress took our bill. ,"[-2, -2, -1, -2, -2, -2, -2, 0]"
87,,"yes ,  the wait is long and ridiculous as times ,  especially as you watch others wolf down their food. ","[0, -2, -2, -2, -1, -2, -2, -2]"
88,,"considering the prices on the menu ,  i would rather go somewhere else where they know how to find water and real chairs for everyone ,  something you can even get at your terminal mcdonald##s. ","[0, -2, -2, 1, -2, 0, 0, -2]"
89,,it was practically impossible to get the waiter' attention to order another bottle of wine. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
90,,"after spending over  dollar cardinal on a business dinner ,  a manager knelt down at your terminal our table and asked us to quote ,  wrap it up and move to the bar. ","[0, 0, -1, 0, -2, -2, -2, -2]"
91,,"friendly staff happily accepted a reservation  ( for cardinal )  ,  and when cardinal showed up ,  they could not have been more understanding ! ","[-2, -2, 1, 0, -2, -2, -2, -2]"
92,,"at our table we did not get any bread until time into the seating ,  which may i emphasize the waiter took really long to come to our table ,  time. ","[-2, 0, -1, -2, -2, -2, -2, -2]"
93,,"recently i purchased a dish to go ,  and found that all of my meal contained cardinal large piece of ginger root. ","[0, -2, -2, -1, -2, -2, -2, -2]"
94,,the stress in your lower legs from sitting on old wood chairs is more than compensated by the wonderful food. ,"[1, -2, -2, -1, -2, -2, -2, -2]"
95,,"we were able to reserve a spot at your terminal the chef tasting bar with someone who actually called in sick that night ,  but we were still charged full price. ","[-2, 1, -2, -2, -2, -1, -2, -2]"
96,,went here for a casual date time dinner at your terminal cardinal : cardinal ;  dinner was served at your terminal cardinal : ! ! ,"[-2, -2, -2, 0, -1, -2, -2, -2]"
97,,"then ,  the waitress gave my wife coffee with regular milk in it even though my wife specifically requested soy milk. ","[0, -2, -1, -2, -2, -2, -2, -2]"
98,,i thought i would give the new place a try since it had an expanded menu and a more legitimate look. ,"[-2, 0, -2, -2, -2, -2, 1, -2]"
99,,* there is a pre-theatre dinner menu for early dinner that is of great value. ,"[-2, -2, -2, -2, -2, 0, 1, -2]"
100,,"the gpe fix menu was a deal to boost downtown restaurants ,  yet we did not pay the full price. ","[-2, -2, -2, -2, -2, -1, 1, -2]"
101,,"the steak au pair certainly lives up to its local reputation ,  but it had or many of the other dishes on the menu ,  such as the crab cakes and the fish salad. ","[1, -2, -2, -2, -2, -2, 0, -2]"
102,,"org was a strange bird and when told we wanted to enjoy our dining experience and not be rushed through dinner ,  he assured us it takes time to get there once food was ordered. ","[1, -2, -1, -2, -2, -2, -2, -2]"
103,,"this is not haute cuisine ,  but that' part of what i love about it - it has an honest ,  intimate feel with no restrictions ,  just like eating in an norp familyat home. ","[-1, -2, -2, 1, -2, -2, -2, -2]"
104,,"the food was so-so and you would think it was a norp heart ,  the portions were so tiny. ","[0, -2, -2, -1, -2, -2, -2, -2]"
105,,eventually another waiter cleaned up the table and allowed us to sit there. ,"[-2, -2, 1, 0, -2, -2, -2, -2]"
106,,"however the hostess completely ignored us ,  we waited time at your terminal the bar  ( even with reservation )  ,  our waitress was incredibly interested in us  ( never even offered person )  and the owner could have taken a look at your terminal the label before he made a mistake about his favorite wine. ","[-2, 0, -1, 0, -2, -2, -2, -2]"
107,,seems everyone ordered but there were tons of delivery orders  ( we can tell as we sat near the back ) . ,"[0, -2, -2, -2, 1, -2, -2, -2]"
108,,small price to pay to have dinner on a date time in downtown gpe. ,"[0, -2, -2, -2, -2, 1, -2, -2]"
109,,"the scene flanked by a diner-style bar on one side and glass cases of sweets on the other ,  general store resembles a cozy mom-and-pop rest stop on the way through gpe norp country--minus the tiny gift shop. ","[-2, 0, -2, 1, -2, -2, -2, -2]"
110,,"since it is a small place ,  it has best to get there early for dinner as the wait can be quite long if you do not make a reservation. ","[-2, -2, -2, 0, -1, -2, -2, -2]"
111,,the org is designed making it special enough to take a date but easy enough to stop in anytime for dinner or snack. ,"[0, 1, -2, -2, -2, -2, -2, -2]"
112,,"the prices are incredibly reasonable ,  especially considering the huge portions - by now soup could have org both my husband and myself. ","[0, -2, -2, 1, -2, -2, -2, -2]"
113,,"there is a huge line ,  usually a time wait ;  they take no reservations and no tables of cardinal people. ","[-2, -1, -2, -1, 0, -2, -2, -2]"
114,,"the others are a must try ,  hence the name. ","[1, -2, -2, 0, -2, -2, -2, -2]"
115,,the situation was verified by taking cardinal dishes that were over an hour late off the bill and free dessert and coffee but the experience left most of us never wanting to go to the supposed hip cool cardinal ever again. ,"[1, -2, -2, -2, -2, 0, -2, -2]"
116,,"i went there with family and even though we had reservations ,  we were seated time late ,  the food took time to arrive and when i got the wrong order ,  i had a hard time trying to find the server. ","[0, -2, -1, 0, -2, -2, -2, -2]"
117,,"the wait was much shorter than the hostess quoted ,  which was great. ","[-2, -2, 0, -2, 1, -2, -2, -2]"
118,,"though the menu is brief ,  options range from a deeply satisfying ,  finely red calf- liver with oven-dried tomatoes to a much lighter striped bass served with textbook perfect white blanc. ","[1, -2, -2, -2, -2, -2, 0, -2]"
119,,"when we got our food ,  the waitress barely said a word as she placed our take-out on the table and grabbed the check. ","[0, -2, -1, -2, -2, 0, -2, -2]"
120,,dropped in for a quick bite with a friend -- like the previous reviewer it took time for any kind of service at your terminal all  ( including getting water )  and then time to get a burger  ( which actually was good ) . ,"[0, -2, -2, -2, -1, -2, -2, -2]"
121,,"however ,  it takes ages to get seated  ( even with a reservation )  ,  and the visitors do not seem very concerned about the menu  ( or respond to questions ) . ","[-2, -2, -1, 0, -2, -2, -2, -2]"
122,,"the only complaint i have is that the tables for cardinal along the booth are very close together so it was not as romantic a dinner as we wanted but all in all ,  we were in our own world ,  more like in heaven. ","[-1, 0, -2, -2, -2, -2, -2, -2]"
123,,"ok the manager did stand at your terminal the bar the whole time looking like his wife left him ,  he lost all his money at your terminal the track and had been drinking the rest of date. ","[-2, 0, -1, -2, -2, -2, -2, -2]"
124,,"we complained to our waiter several times about this and the stares continued and to top it all off as the manager walked around to each table asking if they enjoyed their dinner ,  he certainly did not ask us ! ","[1, -2, 0, 0, -2, -2, -2, -2]"
125,,he is a famous chef who comes to the table and treats the guests. ,"[-2, -2, 1, 0, -2, -2, -2, -2]"
126,,"by org ,  i gave up and sat there silently watching as my rice pudding was snatched away cardinal eaten ,  only to be replaced immediately with a pay bill. ","[0, -2, -2, -2, -2, -1, -2, -2]"
127,,the waiter said they mixed it up because there were cardinal similar things on the menu. ,"[-2, -2, -1, -2, -2, -2, 0, -2]"
128,,")  scores of employees walking around ,  but no one seems to clear a plate or offer more drinks. ","[0, -2, -1, -2, -2, -2, -2, -2]"
129,,"the manager also managed to insult one of my dining partners ,  even using an expression to mock his last name when returning his credit card. ","[0, -2, -1, -2, -2, -2, -2, -2]"
130,,once we were seated our water order was taken promptly but they never came back with a menu. ,"[-2, -2, -2, 1, -2, -2, -1, -2]"
131,,"the waiter told us that he had checked with the kitchen because he noticed that we had not gotten our dinners and they said it would be out shortly ,  should not someone have said something to us ? ","[0, -2, -1, -2, -2, -2, -2, -2]"
132,,"ordinal of all ,  i think our service person was aware that we could not order much for apps or drinks since we had already started at your terminal the bar. ","[0, 0, -2, -2, -1, -2, -2, -2]"
133,,"you have to be comfortable eating with your hands ,  sharing the same plate with your friends and be able to handle spicy food  ( not as spicy as some norp dishes though ) . ","[1, -2, -2, 0, -2, -2, -2, -2]"
134,,"however ,  we went for lunch and were the only ones eating there and yet the service seemed eager for us to be done and to get out. ","[0, -2, -2, -2, -1, -2, -2, -2]"
135,,"although the service was top notch ,  all of the food was disappointing :  burnt octopus ,  bland rice ,  odd tasting mint love letters. ","[-1, -2, -2, -2, 1, -2, -2, -2]"
136,,the portions were overly generous for both the apps and features without criticizing the quality. ,"[1, -2, -2, -1, -2, -2, -2, -2]"
137,,"we arrived on a date time at your terminal cardinal : cardinal and were seated immediately  ( they do not take reservations )  ,  but ,  this small place filled up very quickly ,  and the bar was overrun with people when we left. ","[-2, -1, -2, 0, -2, -2, -2, -2]"
138,,"the place was packed ,  but it did not effect our service or getting our food / drinks promptly. ","[-2, -1, -2, -2, 1, -2, -2, -2]"
139,,"the menu is slightly different from downtown ,  but they still have my favorites -- a salad with hot sesame oil ,  shrimp person ,  the diamond roll ,  the fried shrimp roll. ","[1, -2, -2, -2, -2, -2, 0, -2]"
140,,"but servers ,  even if slightly bored ,  gladly direct visitors to menu strengths--like rum-soaked dessert bananas foster--and allow easy enjoyment. ","[-2, -2, 1, -2, -2, -2, 0, -2]"
141,,"so i asked ,  to speak to the manager ,  and one of the owner who manages the place came to my table ,  told me that the coffee was fresh. ","[1, -2, 0, -2, -2, -2, -2, -2]"
142,,"it is far more popular as a bar than as a restaurant ,  with only a few tables and the waiter being the bartender ,  but we greatly enjoyed the intimate atmosphere. ","[-2, 0, -2, -2, -2, -2, -2, 1]"
143,,"spoke with the manager about buying a round ,  after we had already paid for cardinal rounds waiting for the table. ","[-2, -2, -1, 0, 0, -2, -2, -2]"
144,,"for example ,  we had ordered a ordinal bottle of red wine ,  the waitress gave me a new glass to taste the wine ,  but filled up my existing glass  ( mixing cardinal different bottles in cardinal glass ) . ","[0, -2, -1, -2, -2, -2, -2, -2]"
145,,"as for the main attraction ,  the wines are known for their crisp outer edge and person ,  and feature the unusual design of sauce over person. ","[0, -2, -2, 1, -2, -2, -2, -2]"
146,,the high prices and small portions reflect the lack of a new local restaurant as well as the cache that comes with having to make a reservation date in advance only to wait to be seated. ,"[-2, -2, -2, 0, -2, -1, -2, -2]"
147,,"i have never been during the dinner rush ,  and i think most of the service complaints originate. ","[0, -2, -2, -2, -1, -2, -2, -2]"
148,,"the atmosphere is thin ,  i think it is better to come here for a drink rather than dinner. ","[0, -2, -2, -2, -2, -2, -2, 1]"
149,,our dinner took over time because of the slow service. ,"[0, -2, -2, -2, -1, -2, -2, -2]"
150,,date lunch is less crowded and the staff cheerfully tolerated a date. ,"[0, -2, 1, -2, -2, -2, -2, -2]"
151,,"although the prices is a bit on the high ,  you do get big portions for it. ","[-2, -2, -2, 1, -2, -1, -2, -2]"
152,,"it was my birthday and although they came out with of a bottle of beer ,  i felt embarrassed about the lack of service. ","[-2, -2, -2, 0, -1, -2, -2, -2]"
153,,"favorites include the curry shrimp w /  mushrooms ,  person salad  ( not listed on menu )  ,  and a soy sauce soup with chicken. ","[1, -2, -2, -2, -2, -2, 0, -2]"
154,,"the staff beginning with the tall gentleman at your terminal the door ,  stairs ,  etc. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
155,,"org was top notch ,  only the complain is that this place is so small that some seats are not made for a big guy. ","[1, -2, -1, -1, 1, -2, -2, -2]"
156,,no bar only a waiting area with cardinal tables where you can have drinks prior to dinner. ,"[0, -1, -2, -2, -2, -2, -2, -2]"
157,,"the hostess was present and the waiter was somewhat absent and .  ( sure ,  we made a reservation to sit outside but when i asked to be moved indoors after i heard thunder he did not even try to make it happen ,  giving me a blank stare and a shrug when i asked what we would do if it rained ) . ","[-2, -2, -1, 0, -2, -2, -2, -2]"
158,,the pieces were small but the fish was good quality and there was not a lot of rice to mess with. ,"[-1, -2, -2, 1, -2, -2, -2, -2]"
159,,"person is my only restaurant of choice in the village ;  it is never really crowded ,  the service is very sweet  ( i have never experienced any of the things described in prior reviews )  ,  and the stakes are small. ","[-2, -2, -2, -1, 1, -2, -2, -2]"
160,,"although the food was good ,  the wait was so long ;  extremely happy about seating you ,  we waited time  +  for our reservation. ","[1, -1, -2, -2, -2, -2, -2, -2]"
161,,"i was told ( very softly )  no ,  but then not even time later another group of people came in ,  asked the same thing and because the same woman waiter knew them she gave them regular money ! ","[-2, -2, -1, -2, -2, -2, 0, -2]"
162,,it is so out there that it works--black-clad male floors and all--and even the most normal of groups love getting together for dinner and popular dancing on the palm-lined backyard patio spread. ,"[0, -2, 1, -2, -2, -2, -2, -2]"
163,,the waitress came to our table and told us about their tempting specials. ,"[1, -2, 1, 0, -2, -2, -2, -2]"
164,,we asked the server for cardinal glasses with a splash of southern comfort and grand moneymoneyeur. ,"[1, -2, 0, -2, -2, -2, -2, -2]"
165,,"throughout the whole meal ,  all i kept thinking was average ,  average ,  average until the bill came ,  which was a little more than average , to say the least. ","[0, -2, -2, -2, -2, -1, -2, -2]"
166,,"we hung out by the bar mostly to ourselves ,  not an overly social crowd ,  but there were some large groups of kids looking like it was their meeting up before going out to the clubs  ( a few of the girls looked like top models )  ,  but the vibe was real chill. ","[-2, 0, -2, -1, -2, -2, -2, -2]"
167,,"the food is right out of heaven ,  arrive hungry because the portions are huge but not the prices. ","[1, -2, -2, 1, -2, -1, -2, -2]"
168,,went to celebrate my sisters birthday on date was ordinal taken back on the rather rude answering of a question we had about the menu. ,"[-2, -2, -1, -2, -2, -2, 0, -2]"
169,,there is no bar so therefore no place to wait except the lounge that was packed so after wondering where to stand the hostess grabbed us. ,"[-2, 0, -1, -2, -2, -2, -2, -2]"
170,,before leaving the server gave us the bags. ,"[-2, -2, 1, -2, -2, -2, 0, -2]"
171,,service is cardinal thing but a restaurant like craft needs to have much better quality food for the price they charge. ,"[1, -2, -2, -2, 0, -2, -2, -2]"
172,,i would recommend going at your terminal off-times  ( before cardinal perhaps )  to avoid the crowds as it gets packed and there is not much room by the bar. ,"[-2, 0, -2, -1, -2, -2, -2, -2]"
173,,"the service was polite ,  friendly and prompt ,  the characters walking around entertained the kids but were not introduced to our meal. ","[0, -2, -2, -2, 1, -2, -2, -2]"
174,,"if you have been out shopping and have a yen for quality norp food at your terminal cardinal : cardinal ,  there has a table waiting for you at your terminal kang moneymoneyi restaurant. ","[1, -2, -2, -2, 0, -2, -2, -2]"
175,,and that is a shame as the restaurant is a diner with a very limited menu outside of pizza. ,"[0, -2, -2, -2, -2, -2, -1, -2]"
176,,the waiter just slapped my food down and then never returned until he slapped my check down. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
177,,the person could have been a lot bigger but the drinks they shook up kind of made up for their poor attitude. ,"[1, -2, -1, -2, -1, -2, -2, -2]"
178,,there is always people waiting to be seated and the chairs are not comfortable. ,"[-2, -2, -2, -1, 0, -2, -2, -2]"
179,,"bright lighting and colorful side dishes make you want to love the place ,  but the meal on the whole was amazing. ","[-1, 1, -2, -2, -2, -2, -2, -2]"
180,,the waiter returned time later to complain that cardinal of people wanted our table then poured her beer into a paper cup presumably to encourage us to leave faster. ,"[-2, -2, -1, 0, -2, -2, -2, -2]"
181,,"the food the menu always pulls off is cardinal :  the generous cheese plate makes a big enough starter for at your cardinal people to share ,  and norp onion soup is rich and sweet. ","[1, -2, -2, -2, -2, -2, 0, -2]"
182,,"however for the price i paid to have dinner there ,  you would have thought i ate a horse. ","[0, -2, -2, -2, -2, -1, -2, -2]"
183,,all this norp fusion that leaves one feeling like they should have went to an authentic norp or norp restaurant for probably cardinal of the price of spice market. ,"[1, -2, -2, -2, -2, 0, -2, -2]"
184,,i went with a friend from out the town - the best thing on the menu was the beer. ,"[1, -2, -2, -2, -2, -2, 0, -2]"
185,,the waitress is helpful and they will get your favorite ones to circle your table more often if you just ask. ,"[1, -2, 1, 0, -2, -2, -2, -2]"
186,,cardinal server came and gave us food that turned out to be somecardinal elsetoo. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
187,,the food is not large and i could have had a few slices of pizza after i left. ,"[-1, -2, -2, 0, -2, -2, -2, -2]"
188,,our experience consistently reflected a lazy attitude by the org towards cooking technique and customer care. ,"[0, -2, -2, -2, 1, -2, -2, -2]"
